"pubid","member","year"
"23533652","Peters, Ulrike","2013"
"23341774","Peters, Ulrike","2013"
"23311614","Peters, Ulrike","2013"
"23266556","Peters, Ulrike","2013"
"23149914","Peters, Ulrike","2013"
"24358223","Riddell, Stanley","2013"
"23851683","Riddell, Stanley","2013"
"23744585","Riddell, Stanley","2013"
"23620405","Riddell, Stanley","2013"
"23418547","Riddell, Stanley","2013"
"23412093","Riddell, Stanley","2013"
"23085599","Riddell, Stanley","2013"
"24307693","Robins, Harlan","2013"
"24280279","Robins, Harlan","2013"
"24157944","Robins, Harlan","2013"
"24140071","Robins, Harlan","2013"
"24027095","Robins, Harlan","2013"
"24112477","Salama, Nina","2013"
"23652324","Salama, Nina","2013"
"23115044","Salama, Nina","2013"
"23908652","Schiffer, Joshua","2013"
"23861664","Schiffer, Joshua","2013"
"23606943","Schiffer, Joshua","2013"
"24086134","Strong, Roland","2013"
"24278031","Tapscott, Stephen","2013"
"24175993","Tapscott, Stephen","2013"
"24162561","Tapscott, Stephen","2013"
"24107773","Tapscott, Stephen","2013"
"24092238","Tapscott, Stephen","2013"
"23975201","Tapscott, Stephen","2013"
"23789105","Tapscott, Stephen","2013"
"23756045","Tapscott, Stephen","2013"
"23661246","Tapscott, Stephen","2013"
"23566431","Tapscott, Stephen","2013"
"23230269","Tapscott, Stephen","2013"
"24338745","Turtle, Cameron","2013"
"23412093","Turtle, Cameron","2013"
"24171516","Unger, Joseph","2013"
"24130072","Unger, Joseph","2013"
"23295802","Unger, Joseph","2013"
"23233710","Unger, Joseph","2013"
"24034568","Wang, Ching-Yun","2013"
"24009099","Wang, Ching-Yun","2013"
"23859929","Wang, Ching-Yun","2013"
"23797178","Wang, Ching-Yun","2013"
"23756654","Wang, Ching-Yun","2013"
"23576689","Wang, Ching-Yun","2013"
"23190588","Wang, Ching-Yun","2013"
"23178735","Wang, Ching-Yun","2013"
"23036856","Wang, Ching-Yun","2013"
"22898251","Wang, Ching-Yun","2013"
"22847383","Wang, Ching-Yun","2013"
"24278200","Warren, Edus","2013"
"23851683","Warren, Edus","2013"
"23656731","Warren, Edus","2013"
"24241353","Wu, Michael","2013"
"24403859","Zhao, Lue Ping","2013"
"23494241","Zhao, Lue Ping","2013"
"24436503","Zheng, Yingye","2013"
"24300587","Zheng, Yingye","2013"
"23966428","Zheng, Yingye","2013"
"23813705","Zheng, Yingye","2013"
"23807695","Zheng, Yingye","2013"
"23483651","Zheng, Yingye","2013"
"23254468","Zheng, Yingye","2013"
"23193062","Zheng, Yingye","2013"
"24411921","Appelbaum, Frederick","2013"
"24371771","Appelbaum, Frederick","2013"
"24309531","Appelbaum, Frederick","2013"
"24083472","Appelbaum, Frederick","2013"
"24062388","Appelbaum, Frederick","2013"
"23967110","Appelbaum, Frederick","2013"
"23847197","Appelbaum, Frederick","2013"
"23829510","Appelbaum, Frederick","2013"
"23591789","Appelbaum, Frederick","2013"
"23574120","Appelbaum, Frederick","2013"
"23325837","Appelbaum, Frederick","2013"
"23523892","Bar, Merav","2013"
"23486457","Bar, Merav","2013"
"23447018","Bar, Merav","2013"
"23412093","Bleakley, Marie","2013"
"24368837","Boeckh, Michael","2013"
"24280094","Boeckh, Michael","2013"
"24065324","Boeckh, Michael","2013"
"24046297","Boeckh, Michael","2013"
"23759343","Boeckh, Michael","2013"
"23744585","Boeckh, Michael","2013"
"23680472","Boeckh, Michael","2013"
"23298855","Boeckh, Michael","2013"
"23264438","Boeckh, Michael","2013"
"23447018","Chapuis, Aude","2013"
"24371230","Green, Damian","2013"
"23871782","Green, Damian","2013"
"23471305","Green, Damian","2013"
"24210163","Greenberg, Philip","2013"
"24086134","Greenberg, Philip","2013"
"23673862","Greenberg, Philip","2013"
"23447018","Greenberg, Philip","2013"
"23467302","Houghton, McGarry","2013"
"24358223","Jensen, Michael","2013"
"24344210","Maloney, David","2013"
"24130072","Maloney, David","2013"
"23871782","Maloney, David","2013"
"23769990","Maloney, David","2013"
"23523892","Maloney, David","2013"
"23416851","Maloney, David","2013"
"23233710","Maloney, David","2013"
"24374374","McElrath, Juliana","2013"
"23878319","McElrath, Juliana","2013"
