"Name","Last","First","Division","Primary.Division","Secondary.Division","Institution","Faculty.Rank","TDS","IIRC","PAM"
"Boeckh, Michael","Boeckh","Michael","VIDD,CRD","VIDD","CRD","Fred Hutchinson","Member",FALSE,TRUE,TRUE
"Chapuis, Aude","Chapuis","Aude","CRD","CRD",NA,"Fred Hutchinson","Assistant Member",FALSE,TRUE,TRUE
"Cheever, Martin","Cheever","Mac","CRD","CRD",NA,"Fred Hutchinson","Member",FALSE,TRUE,TRUE
"Dudakov, Jarrod","Dudakov","Jarrod","CRD","CRD",NA,"Fred Hutchinson","Assistant Member",FALSE,TRUE,FALSE
"Green, Damian","Green","Damian","CRD","CRD",NA,"Fred Hutchinson","Assistant Member",FALSE,TRUE,FALSE
"Greenberg, Philip","Greenberg","Philip","CRD","CRD",NA,"Fred Hutchinson","Member",FALSE,TRUE,TRUE
"Gujral, Taranjit","Gujral","Taran","HB","HB",NA,"Fred Hutchinson","Assistant Member",FALSE,TRUE,FALSE
"Headley, Mark","Headley","Mark","CRD","CRD",NA,"Fred Hutchinson","Assistant Member",FALSE,TRUE,FALSE
"Hill, Geoffrey","Hill","Geoffrey","CRD","CRD",NA,"Fred Hutchinson","Member",FALSE,TRUE,FALSE
"Hockenbery, David","Hockenbery","David","CRD","CRD",NA,"Fred Hutchinson","Member",FALSE,TRUE,FALSE
"Holland, Eric","Holland","Eric","HB","HB",NA,"Fred Hutchinson","Member",FALSE,TRUE,FALSE
"Houghton, McGarry","Houghton","McGarry","CRD,HB","CRD","HB","Fred Hutchinson","Member",FALSE,TRUE,FALSE
"Jensen, Michael","Jensen","Michael","Affiliate","Affiliate",NA,"Seattle Children's Research Institute","Professor",FALSE,TRUE,FALSE
"Koch, Meghan","Koch","Meghan","BS","BS",NA,"Fred Hutchinson","Assistant",FALSE,TRUE,TRUE
"Lee, Sylvia","Lee","Sylvia","CRD","CRD",NA,"Fred Hutchinson","Assistant Member",FALSE,TRUE,FALSE
"Maloney, David","Maloney","David","CRD","CRD",NA,"Fred Hutchinson","Member",FALSE,TRUE,FALSE
"Martins, Renato","Martins","Renato","CRD","CRD",NA,"Fred Hutchinson","Member",FALSE,TRUE,TRUE
"McElrath, Juliana","McElrath","Julie","VIDD,CRD","VIDD","CRD","Fred Hutchinson","Member",FALSE,TRUE,TRUE
"McIntosh, Martin","McIntosh","Martin","PHS","PHS",NA,"Fred Hutchinson","Member",FALSE,TRUE,FALSE
"Milano, Filippo","Milano","Filippo","CRD","CRD",NA,"Fred Hutchinson","Assistant Member",FALSE,TRUE,FALSE
"Moens, Cecilia","Moens","Cecilia","BS","BS",NA,"Fred Hutchinson","Member",FALSE,TRUE,FALSE
"Nghiem, Paul","Nghiem","Paul","UW","UW",NA,"University of Washington","Professor",FALSE,TRUE,TRUE
"Phipps, Warren","Phipps","Warren","VIDD","VIDD",NA,"Fred Hutchinson","Associate Member",FALSE,TRUE,TRUE
"Pollack, Seth","Pollack","Seth","CRD","CRD",NA,"Fred Hutchinson","Assistant Member",FALSE,TRUE,FALSE
"Prlic, Martin","Prlic","Martin","VIDD","VIDD",NA,"Fred Hutchinson","Associate Member",FALSE,TRUE,TRUE
"Rengan, Ramesh","Rengan","Ramesh","CRD","CRD",NA,"Fred Hutchinson","Associate Member",FALSE,TRUE,FALSE
"Rongvaux, Anthony","Rongvaux","Anthony","CRD","CRD",NA,"Fred Hutchinson","Assistant Member",FALSE,TRUE,FALSE
"Sandmaier, Brenda","Sandmaier","Brenda","CRD","CRD",NA,"Fred Hutchinson","Member",FALSE,TRUE,FALSE
"Specht, Jennifer","Specht","Jennifer","UW,CRD","UW","CRD","University of Washington","Joint Associate Member",FALSE,TRUE,FALSE
"Stephan, Matthias","Stephan","Mattias","CRD","CRD",NA,"Fred Hutchinson","Assistant Member",FALSE,TRUE,FALSE
"Stoddard, Barry","Stoddard","Barry","BS","BS",NA,"Fred Hutchinson","Member",FALSE,TRUE,FALSE
"Taylor, Justin","Taylor","Justin","VIDD","VIDD",NA,"Fred Hutchinson","Assistant Member",FALSE,TRUE,TRUE
"Thompson, John","Thompson","John","CRD","CRD",NA,"Fred Hutchinson","Member",FALSE,TRUE,FALSE
"Till, Brian","Till","Brian","CRD","CRD",NA,"Fred Hutchinson","Assistant Member",FALSE,TRUE,FALSE
"Walter, Roland","Walter","Roland","CRD","CRD",NA,"Fred Hutchinson","Associate Member",FALSE,TRUE,FALSE
"Avgousti, Daphne","Avgousti","Daphne","HB","HB",NA,"Fred Hutchinson","Assistant Member",FALSE,FALSE,TRUE
"Barber, Brittany","Barber","Brittany","UW","UW",NA,"University of Washington","Assistant",FALSE,FALSE,TRUE
"Barnabas, Ruanne","Barnabas","Ruanne","UW","UW",NA,"University of Washington","Assistant Professor",FALSE,FALSE,TRUE
"Bender Ignacio, Rachel","Bender Ignacio","Rachel","VIDD","VIDD",NA,"Fred Hutchinson","Associate",FALSE,FALSE,TRUE
"Bhatia, Shailender","Bhatia","Shailender","CRD","CRD",NA,"Fred Hutchinson","Assistant Member",FALSE,FALSE,TRUE
"Bullman, Susan","Bullman","Susan","HB","HB",NA,"Fred Hutchinson","Assistant Professor",FALSE,FALSE,TRUE
"Casper, Corey","Casper","Corey","Affiliate","Affiliate",NA,"Infectious Disease Research Institute","Member",FALSE,FALSE,TRUE
"Chen, Chu","Chen","Chu","PHS","PHS",NA,"Fred Hutchinson","Member",FALSE,FALSE,TRUE
"Chung, Michael","Chung","Michael","UW","UW",NA,"University of Washington","Associate Professor",FALSE,FALSE,TRUE
"Corey, Larry","Corey","Larry","VIDD,CRD,PHS","VIDD","CRD","Fred Hutchinson","Member",FALSE,FALSE,TRUE
"de Sanjose, Silvia","de Sanjose","Silvia","Affiliate","Affiliate",NA,"PATH","Professor",FALSE,FALSE,TRUE
"DePaolo, William","DePaolo","William","UW","UW",NA,"University of Washington","Associate Professor",FALSE,FALSE,TRUE
"Dey, Neelendu","Dey","Neel","CRD","CRD",NA,"Fred Hutchinson","Assistant",FALSE,FALSE,TRUE
"Emerman, Michael","Emerman","Michael","HB,BS","HB","BS","Fred Hutchinson","Member",FALSE,FALSE,TRUE
"Fitzmaurice, Christina","Fitzmaurice","Tina","UW","UW",NA,"University of Washington","Assistant Professor",FALSE,FALSE,TRUE
"Frenkel, Lisa","Frenkel","Lisa","Affiliate","Affiliate",NA,"Seattle Children's Research Institute","Professor",FALSE,FALSE,TRUE
"Gale, Michael","Gale","Michael","UW","UW",NA,"University of Washington","Professor",FALSE,FALSE,TRUE
"Gantt, Soren","Gantt","Soren","Affiliate","Affiliate",NA,"University of British Columbia","Associate Professor",FALSE,FALSE,TRUE
"Geballe, Adam","Geballe","Adam","HB,CRD","HB","CRD","Fred Hutchinson","Member",FALSE,FALSE,TRUE
"Grady, William","Grady","Bill","CRD,PHS","CRD","PHS","Fred Hutchinson","Member",FALSE,FALSE,TRUE
"Hawes, Stephen","Hawes","Steve","UW","UW",NA,"University of Washington","Associate Professor",FALSE,FALSE,TRUE
"Hladik, Florian","Hladik","Florian ","UW","UW",NA,"University of Washington","Professor",FALSE,FALSE,TRUE
"Jerome, Keith","Jerome","Keith","VIDD","VIDD",NA,"Fred Hutchinson","Member",FALSE,FALSE,TRUE
"Johnston, Christopher","Johnston","Christopher","VIDD","VIDD",NA,"Fred Hutchinson","Assistant Professor",FALSE,FALSE,TRUE
"Ko, Linda","Ko","Linda","PHS","PHS",NA,"Fred Hutchinson","Associate",FALSE,FALSE,TRUE
"Koelle, David","Koelle","David","UW","UW",NA,"University of Washington","Professor",FALSE,FALSE,TRUE
"Lagunoff, Michael","Lagunoff","Michael","UW","UW",NA,"University of Washington","Professor",FALSE,FALSE,TRUE
"Lampe, Johanna","Lampe","Johanna","PHS","PHS",NA,"Fred Hutchinson","Member",FALSE,FALSE,TRUE
"Lingappa, Jaisri","Lingappa","Jaisri","UW","UW",NA,"University of Washington","Professor",FALSE,FALSE,TRUE
"Madeleine, Margaret","Madeleine","Margaret","PHS","PHS",NA,"Fred Hutchinson","Associate Member",FALSE,FALSE,TRUE
"Malik, Harmit","Malik","Harmit","BS","BS",NA,"Fred Hutchinson","Member",FALSE,FALSE,TRUE
"McGuire, Andrew","McGuire","Andy","VIDD","VIDD",NA,"Fred Hutchinson","Assistant Member",FALSE,FALSE,TRUE
"Menon, Manoj","Menon","Manoj","VIDD","VIDD",NA,"Fred Hutchinson","Assistant Member",FALSE,FALSE,TRUE
"Mugo, Nelly","Mugo","Nelly","UW","UW",NA,"University of Washington","Associate Professor",FALSE,FALSE,TRUE
"Overbaugh, Julie","Overbaugh","Julie","HB,PHS","HB","PHS","Fred Hutchinson","Member",FALSE,FALSE,TRUE
"Polyak, Stephen","Polyak","Steve","UW","UW",NA,"University of Washington","Professor",FALSE,FALSE,TRUE
"Ramsey, Scott","Ramsey","Scott","PHS","PHS",NA,"Fred Hutchinson","Member",FALSE,FALSE,TRUE
"Rodriguez, Cristina","Rodriguez","Christina","UW","UW",NA,"University of Washington","Associate Professor",FALSE,FALSE,TRUE
"Roman, Ann","Roman","Ann","HB","HB",NA,"Fred Hutchinson","Visiting Investigator",FALSE,FALSE,TRUE
"Rose, Timothy","Rose","Tim","UW","UW",NA,"University of Washington","Professor",FALSE,FALSE,TRUE
"Savan, Ram","Savan","Ram","UW","UW",NA,"University of Washington","Associate",FALSE,FALSE,TRUE
"Schwartz, Stephen","Schwartz","Steve","PHS","PHS",NA,"Fred Hutchinson","Member",FALSE,FALSE,TRUE
"Scott, John","Scott","John","UW","UW",NA,"University of Washington","Associate Professor",FALSE,FALSE,TRUE
"Shah, Parth","Shah","Parth","PHS","PHS",NA,"Fred Hutchinson","Assistant",FALSE,FALSE,TRUE
"Smith, Jason","Smith","Jason","UW","UW",NA,"University of Washington","Associate Professor",FALSE,FALSE,TRUE
"Stamatatos, Leonidas","Stamatatos","Leo","VIDD","VIDD",NA,"Fred Hutchinson","Member",FALSE,FALSE,TRUE
"Stetson, Daniel","Stetson","Dan","UW","UW",NA,"University of Washington","Associate Professor",FALSE,FALSE,TRUE
"Thompson, Beti","Thompson","Beti","PHS","PHS",NA,"Fred Hutchinson","Member",FALSE,FALSE,TRUE
"Wald, Anna","Wald","Anna","VIDD","VIDD",NA,"Fred Hutchinson","Member",FALSE,FALSE,TRUE
"Wasserheit, Judith","Wasserheit","Judy","UW","UW",NA,"University of Washington","Professor",FALSE,FALSE,TRUE
"Winer, Rachel","Winer","Rachel","UW","UW",NA,"University of Washington","Associate Professor",FALSE,FALSE,TRUE
"Xi, Long Fu","Xi","Long Fu","UW","UW",NA,"University of Washington","Associate Professor",FALSE,FALSE,TRUE
"Yeh, Matthew","Yeh","Matthew","UW","UW",NA,"University of Washington","Professor",FALSE,FALSE,TRUE
